Id,StateName,Code
1,Alabama,AL
2,Alaska,AK
3,Arizona,AZ
4,Arkansas,AR
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,District of Columbia,DC
10,Florida,FL
11,Village of Islands village; Florida,FL
12,Georgia,GA
13,Hawaii,HI
14,Idaho,ID
15,Illinois,IL
16,Indiana,IN
17,Iowa,IA
18,Kansas,KS
19,Kentucky,KY
20,Louisiana,LA
21,Maine,ME
22,Maryland,MD
23,Massachusetts,MA
24,Michigan,MI
25,Minnesota,MN
26,Mississippi,MS
27,Missouri,MO
28,Montana,MT
29,Nebraska,NE
30,Nevada,NV
31,New Hampshire,NH
32,New Jersey,NJ
33,New Mexico,NM
34,New York,NY
35,North Carolina,NC
36,North Dakota,ND
37,Ohio,OH
38,Oklahoma,OK
39,Oregon,OR
40,Pennsylvania,PA
41,Rhode Island,RI
42,South Carolina,SC
43,South Dakota,SD
44,Tennessee,TN
45,Moore County metropolitan government; Tennessee,TN
46,Texas,TX
47,Utah,UT
48,Vermont,VT
49,Virginia,VA
50,Washington,WA
51,West Virginia,WV
52,Wisconsin,WI
53,Wyoming,WY
54,Puerto Rico,PR
55,Village of Islands village,FL
56,Moore County metropolitan government,TN
